Date,County,Sales (Dollars)
2017-01-01,floyd,63221.31999999995
2017-01-01,franklin,19465.469999999987
2017-01-01,fremont,2999.9799999999996
2017-01-01,greene,29053.150000000034
2017-01-01,grundy,16062.61999999998
2017-01-01,guthrie,13227.289999999986
2017-01-01,hamilton,38345.390000000014
2017-01-01,hancock,20304.179999999993
2017-01-01,hardin,88118.63000000006
2017-01-01,harrison,35574.42000000005
2017-01-01,henry,62109.23000000003
2017-01-01,howard,35067.52999999999
2017-01-01,humboldt,31589.750000000036
2017-01-01,ida,37340.6
2017-01-01,iowa,60383.17999999998
2017-01-01,jackson,63090.00999999991
2017-01-01,jasper,78713.23999999989
2017-01-01,jefferson,51346.30000000001
2017-01-01,johnson,784569.7500000036
2017-01-01,jones,60353.93999999964
2017-01-01,keokuk,7000.890000000008
2017-01-01,kossuth,90650.9100000001
2017-01-01,lee,161562.03999999992
2017-01-01,linn,1168271.9299999874
2017-01-01,louisa,13959.349999999977
2017-01-01,lucas,23801.900000000005
